Gene,CFOS,CTCF,EGR1,NRF1,NRSF,POU2F2,SP1,SRF,STAT3,USF1,YY1
ENSG00000127720,0,137.079858,0,5.119786811,100.3157934,509.692695,1258.174657,3307.117746,3.994378871,0,3026.4857
ENSG00000221200,0,7.29345376,0,0,2109.818894,0,0,0,0,0,0
ENSG00000237787,0,0.022959032,0,0,0,0,0,0,0,0,0
ENSG00000051596,0,0.066480731,0,0,0,0,0.491031227,0,0,0,0
ENSG00000236211,0,0.333638116,0,0,0,0,39.0323088,0,0,0,0
ENSG00000252559,0,0.378174439,0,3.209374701,0,0,0,0,2.214001341,0,0
ENSG00000214684,0,15.50949647,0,0.187385298,0,0,0,0,1.110188185,0,0
ENSG00000236118,0,76.23700721,0,40.22107853,0,286.8783268,131.8575184,81.24252248,0.169937176,88.17846466,2.089254852
ENSG00000213697,0,7.225450374,0,54.0139186,0,0,98.97303466,0,0,0,0
ENSG00000135541,0,66.02090363,0,0.705123994,10.72581842,14.93654223,23.54511023,0,0.549526186,0,2.47E-16
ENSG00000252927,0,0,0,7.372105917,0,0,0,0,2.233155382,0,0
ENSG00000212066,0,71.6968357,0,6.698945743,0,155.6387889,404.2053649,0,2.712723402,0,0.00072741
ENSG00000143376,0,17.56212482,0,1.989030469,0,0,203.7052505,175.9107225,0,0,1693.799893
ENSG00000256006,0,13.83890577,0,4.62864645,13.16045547,34.57975749,60.79759164,15.93102119,0.035318726,22.01140485,1.55E-17
ENSG00000206917,0,9.768472058,25.63922503,0.118965473,2.844887576,2209.06669,478.4013227,391.4410906,1.090878682,0,0.722858712
ENSG00000120853,0,43.73447862,0,1.68535533,0,10.27645918,60.99426608,0,0.061609406,0,5.20E-09
ENSG00000172172,0,27.49258394,123.9771818,3.508840093,0,146.2379183,273.8680385,298.0822902,2.620415341,0,256.2990897
ENSG00000100218,0,20.00355707,0,26.48809261,0,0,535.6123556,0,1.591171092,0,0.00108524
ENSG00000199273,0,46.84542245,0,1.877632426,0,44.72819037,383.9804256,99.17638304,1.403264569,0,1.55E-09
ENSG00000225937,0,18.29791741,0,0,0,0,0,0,0,0,0
ENSG00000132604,0,52.42040976,0,0,0,0,442.8935452,0,0,2.801040421,775.5810616
ENSG00000254025,0,0.098336624,0,0,0,5.790592339,3.130334673,16.55317665,0.469262228,0,1.80E-28
ENSG00000142185,0,8.632860663,0,3.224726482,0,28.45604733,338.1946802,94.77000856,0,0,1.77E-16
ENSG00000228682,0,9.31241627,0,9.112659924,0,0,166.5731722,0,6.104594364,0,0.002132093
ENSG00000131724,0,8.185333105,0,0,0,0,0,0,0,0,0
