Gene,DNAse,H3K20me3,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K9me3
ENSMUSG00000000003,52.2308086,1167.551487,1587.343392,1295.693292,252.4599542,329.8197941,592.6887872,616.3687071
ENSMUSG00000000028,251.4503582,5679.595752,4271.745566,24825.83588,13947.53075,29493.74278,111936.1845,4373.290975
ENSMUSG00000000031,244.7830092,25160.45602,14517.32888,2655.177632,3513.030535,3511.024099,12121.21825,23060.81579
ENSMUSG00000000037,66.04912999,324.1539617,699.4193364,1095.244565,172.9333524,0,0,345.8667048
ENSMUSG00000000049,122.3178096,2982.731693,4675.888444,4013.75,1242.25,0,2766.843535,3789.106407
ENSMUSG00000000056,323.2026612,4221.328232,3553.327517,8374.24242,9786.045767,24137.42205,71665.94308,2761.086313
ENSMUSG00000000058,214.9447288,6067.880292,17411.27081,3335.722826,8260.545195,6660.939359,15014.11299,2856.090961
ENSMUSG00000000078,455.5174002,4275.60655,4074.866276,18004.09139,18896.79641,39372.42577,110953.0816,3930.248713
ENSMUSG00000000085,83.84749232,4858.311499,4980.776387,10896.2608,5330.199228,966.9540904,4623.544408,2455.534611
ENSMUSG00000000088,253.2041965,3315.615275,2945.11885,8161.076874,21339.02346,35495.59389,116994.1787,2245.846539
ENSMUSG00000000093,635.0655067,3327.603118,119643.5373,2160.576659,12577.89531,22488.53247,42996.47733,3096.006436
ENSMUSG00000000094,394.9872057,3283.213458,103049.3364,3440.259582,20016.31701,22661.86399,40143.66404,2671.060355
ENSMUSG00000000103,215.8664278,1208.55871,1591.337314,3557.266376,8489.575515,14226.55478,42554.80292,1516.097898
ENSMUSG00000000120,525.3500512,4331.608124,26307.21482,4196.848899,25727.39395,44410.40446,66912.74314,4151.795981
ENSMUSG00000000125,531.278915,3799.323656,81368.03647,3281.137872,13464.05463,14112.02374,28817.23155,4001.464245
ENSMUSG00000000126,519.5895599,2262.736413,40456.98069,4985.979191,14055.66862,29437.05506,54376.37178,2295.918621
ENSMUSG00000000127,82.94677584,3414.923627,1712.967463,11421.9365,6097.801273,2794.279248,3717.906894,4475.60512
ENSMUSG00000000131,118.8761515,3555.876073,2434.06722,24240.5123,9731.956879,6699.122283,6106.63873,3206.213959
ENSMUSG00000000134,374.6499488,1166.205378,1765.522311,8386.661613,4977.535755,24427.8484,81377.45995,1406.033538
ENSMUSG00000000142,617.2072671,1618.698012,13925.38566,2882.126001,17067.05456,23329.97998,52753.67735,5330.453876
ENSMUSG00000000148,603.9897646,4195.124428,4741.400172,10224.57308,12812.24993,33285.7156,122494.4721,2272.29262
ENSMUSG00000000149,516.6120778,4222.699371,6692.855263,10518.0457,11637.29763,21404.13501,31432.80328,3093.162328
ENSMUSG00000000154,278.2978506,2964.983839,16053.70066,5161.127574,19338.93264,15175.39302,30129.32516,2086.069365
ENSMUSG00000000157,137.6525077,3357.4124,4286.202803,2798.896382,508.5652174,813.874714,3422.943793,3453.059354
ENSMUSG00000000159,174.1499488,4048.520523,13099.0891,3094.673985,2833.161041,3974.845895,9182.283467,3437.879291
ENSMUSG00000000167,270.6422723,5105.301201,4333.661327,17662.38616,7318.586241,14061.96968,73629.77567,2186.346825
ENSMUSG00000000168,273.5081883,3868.5246,4254.73155,9878.247712,5875.242134,14936.47326,89284.80964,2643.204519
ENSMUSG00000000171,262.8157625,4104.195152,4139.196582,19045.5384,12062.76766,33721.38215,133894.8766,2391.32716
ENSMUSG00000000182,184.8403275,3777.922912,11347.0241,3631.706736,8693.104191,3345.459668,6703.061213,3170.675129
ENSMUSG00000000183,200.8352098,4054.774027,24827.85147,3284.242849,4057.02274,4870.817863,6966.583238,4072.281178
ENSMUSG00000000184,421.4953941,3311.983696,76331.84597,2101.796911,10743.73713,32728.66733,48720.64374,1771.270595
ENSMUSG00000000194,251.2236438,2552.446725,3234.584096,11589.66512,16711.50887,21179.81908,59612.32973,941.9133295
ENSMUSG00000000197,245.9897646,5472.909897,6836.2377,3004.445938,4946.475114,9333.128146,29216.17327,3139.600615
ENSMUSG00000000202,269.7871034,4040.319436,28621.36806,3184.375429,29039.73849,23330.96239,32323.55328,5409.85984
ENSMUSG00000000204,84.70522006,3619.176416,7549.729405,1498.077017,1254.756293,1225.839531,5456.981693,2719.683352
ENSMUSG00000000214,233.5777892,3992.183853,36325.86349,3278.192506,3806.226902,3693.88873,7777.99621,5271.784182
ENSMUSG00000000215,139.7840328,3896.770523,17380.59954,3765.466247,1441.465389,349.6355835,4129.104262,3354.843535
ENSMUSG00000000216,309.4360287,4033.530749,23704.60541,3589.20645,5287.881936,11303.25801,18470.75172,3604.29641
ENSMUSG00000000223,105.185261,2938.113558,5660.347397,2732.060927,1327.587958,3708.96782,3332.813001,1497.602045
ENSMUSG00000000244,263.0455476,3941.141662,7312.548055,5335.563573,16838.40646,20303.95824,30460.74886,2624.507652
ENSMUSG00000000247,595.1617195,3780.221968,127801.3277,1901.440718,15659.4134,29741.37729,54780.90182,1948.494208
ENSMUSG00000000248,110.0363357,387.8661327,95.57351259,212.4427918,94.28239416,0,95.57351259,0
ENSMUSG00000000253,245.4892528,2350.379148,11793.97125,4331.614273,14552.47926,19452.1511,42910.97311,2404.924128
ENSMUSG00000000263,248.4237462,3657.709668,17005.33281,2179.743421,2081.732838,8503.007437,11271.81894,3589.584597
ENSMUSG00000000266,131.3879222,2271.990275,18239.35784,1298.285326,3155.058781,3163.455378,15311.02918,1901.344394
ENSMUSG00000000275,267.5895599,4817.892806,5537.581522,9123.763945,25202.42949,49254.28011,146286.0448,5885.218822
ENSMUSG00000000276,262.4150461,4974.139445,6264.898527,15950.46703,13631.84797,28980.91755,126377.6268,3161.210526
ENSMUSG00000000278,214.2937564,2433.895881,1682.688144,11163.24886,14281.50436,22475.753,41380.50451,1111.070438
ENSMUSG00000000282,600.9856704,5660.634225,7280.244065,9633.332165,28208.97969,51335.62743,177194.0778,4030.642878
ENSMUSG00000000290,200.2441146,2585.608195,9583.981979,3685.455664,2136.057137,1727.256722,5229.095466,4349.047483
ENSMUSG00000000295,168.2671443,4969.610626,4366.711098,11289.93221,9878.933209,15721.04219,43512.84883,2530.370995
ENSMUSG00000000296,77.28454452,2025.163616,2244.437357,2023.065217,0,475.5929634,1006.825372,2007.846682
ENSMUSG00000000301,253.3991812,5665.842248,9041.873355,3632.289617,7153.724542,19695.0093,31625.36363,4344.443721
ENSMUSG00000000303,442.1054248,5078.852975,7511.385941,15973.29283,26992.59318,42200.07859,149896.3942,3577.082666
ENSMUSG00000000305,416.2200614,3068.440432,43754.29098,6501.141304,6992.697297,9642.739989,43421.78497,2589.785612
ENSMUSG00000000308,602.5726714,4791.025029,6031.351473,7584.496496,21553.30177,32611.56457,55281.16076,2364.023098
ENSMUSG00000000317,248.1156602,3181.998856,18856.15625,10749.98527,24010.95395,62623.01659,72018.34311,2488.34139
ENSMUSG00000000318,113.2374616,3122.499785,11742.26502,1584.897597,1967.85512,332.4302059,4172.314431,2528.176344
ENSMUSG00000000320,217.3802456,3132.546482,33063.91741,5507.162328,8504.773026,13911.97654,21942.55642,3114.35891
ENSMUSG00000000325,699.5235415,3909.79591,12804.0743,5184.077017,10688.2598,19276.56636,57144.65389,3709.659253
ENSMUSG00000000326,153.6392016,5244.523956,7459.538973,13338.53962,3861.148455,2557.91476,5924.874428,4332.32859
ENSMUSG00000000339,263.9488229,3085.820867,3144.898884,14654.85719,12158.52188,15467.70452,26692.31936,1094.672769
ENSMUSG00000000340,313.104913,4368.291691,4262.559854,10606.21324,11093.94401,16113.00779,51838.09575,2611.800701
ENSMUSG00000000346,573.7594678,3469.950086,4916.709025,16534.83839,16603.3396,28331.07673,98661.13487,2437.729834
ENSMUSG00000000355,158.6811668,975.0807351,229,3976.266233,4037.797983,8683.39016,23729.97025,788.8803633
ENSMUSG00000000359,393.9150461,4255.298985,45750.60541,3312.650958,5888.116776,8726.012586,21347.64374,3016.694508
ENSMUSG00000000365,348.4068577,3908.094537,4218.751931,8447.328733,4120.001073,13255.99685,23214.28197,2660.217963
ENSMUSG00000000374,474.4529171,4254.192005,9063.363987,5769.510226,8681.875858,24573.25944,50250.69715,3072.352117
ENSMUSG00000000378,489.7103378,3005.18042,4054.439359,7634.523884,18705.28933,21958.33703,52131.14173,3111.061141
ENSMUSG00000000381,174.4846469,4015.2997,6147.121281,2350.909754,1824.570652,2055.068936,4848.606693,2266.795338
ENSMUSG00000000384,354.1248721,3675.565575,2753.356336,34581.57215,14772.27775,46898.4267,166801.707,2612.757652
ENSMUSG00000000385,95.84135107,4299.098684,8731.443507,3586.08903,1949.094823,1034.877002,5206.752431,3836.996138
ENSMUSG00000000386,103.5808598,2399.667549,2761.147454,744.593464,367.1195652,760.083238,3185.906822,2797.015875
ENSMUSG00000000392,82.29477994,4818.956951,3665.050057,3955.570223,1589.48341,1321.488844,1620.564574,2586.589531
ENSMUSG00000000394,91.04503582,3672.7879,4916.008081,2291.887014,1660.327017,581.0560641,2552.091605,2176.877288
ENSMUSG00000000399,275.1745138,3105.203804,2313.995423,4399.694293,4143.783681,16474.79891,82391.5098,2899.289474
ENSMUSG00000000402,134.3091095,1607.114488,10941.03096,3257.901316,3999.507151,6863.753719,12221.63759,2386.034182
ENSMUSG00000000409,241.3362334,4152.623141,8462.753218,4969.068149,18666.54047,7289.857909,11689.10569,3639.584811
ENSMUSG00000000411,210.2927329,3938.400243,19043.68843,15334.54112,17110.76959,14371.21925,25756.25114,3506.672054
ENSMUSG00000000416,173.272262,3811.246782,28348.43428,2189.363415,4052.712243,9444.128146,30708.16226,2161.788759
ENSMUSG00000000420,380.6632549,5533.772883,10038.23913,8732.120352,16973.36234,18955.5138,61586.9212,3077.63873
ENSMUSG00000000435,150.5537359,4575.412185,10340.14445,3219.427274,8299.15153,3080.830521,9098.279462,2622.252002
ENSMUSG00000000439,236.7927329,2464.290046,2027.038544,7425.273884,5391.730692,11051.14788,31810.96124,2039.045481
ENSMUSG00000000440,105.216479,4256.699299,5313.0379,3795.854834,1288.917906,225,3558.62357,2792.66905
ENSMUSG00000000441,321.4790174,5814.852403,3114.146096,4396.444651,17544.69365,24971.2859,123208.3534,2982.767449
ENSMUSG00000000486,132.8551689,4618.923627,4286.451301,12812.9887,36668.29698,48848.87157,56418.33774,5904.931922
ENSMUSG00000000489,671.4524053,5045.455092,28407.89116,5152.215532,15263.44665,26180.75579,89719.75501,4043.938787
ENSMUSG00000000530,180.808086,5400.450872,29347.14002,2715.897311,20581.52417,17723.52002,20623.25815,3916.202589
ENSMUSG00000000531,472.8602866,3182.132652,15418.91076,8070.945295,17186.26015,28897.5153,78121.2382,2135.135798
ENSMUSG00000000532,613.0900716,3128.952875,8815.419122,6937.971825,18948.26001,28150.37915,61219.96045,2802.115561
ENSMUSG00000000538,402.2640737,4057.994565,4837.663759,6156.569866,11270.05285,16638.22211,61085.46653,2255.48484
ENSMUSG00000000544,164.5419652,24694.20624,6937.704877,8701.065646,23607.83374,27442.8878,37421.79119,11214.34461
ENSMUSG00000000552,391.4027636,4962.546553,10840.39138,12474.41783,35401.8105,32024.92213,57993.4272,3711.56722
ENSMUSG00000000555,496.0542477,5977.508653,4773.681279,7490.758152,36133.31686,34541.45917,80732.19029,1935.106622
ENSMUSG00000000560,152.3423746,4293.787185,24459.90768,1743.356121,3954.014874,16714.1885,30014.70967,995.4267735
ENSMUSG00000000561,196.3126919,3934.181779,3675.039045,43600.31829,17969.86485,27151.30499,126147.0032,2839.992134
ENSMUSG00000000562,92.36847492,3897.412114,8738.194651,1892.936499,4641.449943,1172.617277,4745.159182,3522.776101
ENSMUSG00000000563,194.8111566,4119.442363,3939.019308,46846.03597,17666.89202,27314.40654,126199.7687,2968.508438
ENSMUSG00000000567,622.1366428,2184.850973,81816.15882,2919.446582,9653.794479,34339.84675,51095.09561,1556.763945
ENSMUSG00000000568,553.4416581,2879.200729,4295.364416,16106.878,13880.80263,30910.81801,97828.29341,2616.544551
ENSMUSG00000000579,1183.782497,0,0,0,0,0,0,0
ENSMUSG00000000581,218.5685773,2820.729119,2308.044336,2464.613773,4472.535112,12293.05592,41736.82752,1285.782895
ENSMUSG00000000594,409.524565,3495.860054,6342.104119,6002.177918,15220.57623,24726.10226,53980.44694,2203.11413
ENSMUSG00000000600,245.90174,1864.343965,8267.764016,5494.279033,6472.828232,23184.23062,97077.33753,1661.988701
ENSMUSG00000000605,421.888434,2260.750572,8341.258796,2767.639016,4426.407037,14862.35669,44938.83195,2086.540975
ENSMUSG00000000606,83.11566018,0,0,0,0,0,0,0
ENSMUSG00000000617,438.5281474,3163.92756,42538.38773,1730.98913,15302.01952,14011.95395,39576.50358,2973.243421
ENSMUSG00000000627,376.5849539,2968.053561,13108.47712,2688.846753,5102.441791,5348.942792,24806.28247,2975.771239
