"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"CFOS",0.077134349728348,-0.046846634496089,-0.00905349731875019,-1.66911669999179e-05,0.000709482964504414,-0.000549381283999654,0.000475035984734895,1.13098653996496e-07,-2.10607320838648e-05,-4.33197286342676e-06,-0.000205264589083848,-0.000266822173851548,0.000104291791299097,-0.000553672559718773,-0.0015200297789206,-0.00153265619069891,0.00132081435552463,0.000142903298188211
"CTCF",0.0788805805602843,-0.00437501322158683,0.0105911068952055,-0.000113061450719305,0.00164895260212793,-0.00172165921100103,-0.00184425638171647,6.87010049953534e-07,1.58131987563204e-05,-1.52952132026155e-06,-0.000762069129705237,-3.41052105299154e-05,-0.00015394446252428,-0.0013740973213996,0.000293353993285172,0.000421310363173415,0.000206830129934518,-5.29128782364533e-05
"EGR1",0.0772775180599536,-0.0479447128797293,-0.0115845503614308,-1.05724168960998e-05,0.000573398001347915,0.000145579063195004,-3.18317962409858e-05,-3.38784131998577e-07,-2.95043478628426e-05,-4.6909353609197e-06,-0.000705945435175301,0.00023559284304541,0.000294201030369113,-0.00151154994459866,0.000766115883462216,-0.000304542690912122,1.44231131376395e-05,6.18408174844856e-05
"NRF1",0.0790323504938168,0.0405704965093804,0.00376672346391068,-5.13315929302029e-05,0.000373579469366333,-0.000735228451960087,-0.000209759096737383,5.54148975657054e-07,-3.62406551501487e-05,-1.12083046987666e-06,0.00113245617871963,8.39151590465521e-05,-0.000340589610980583,-0.00188120286186727,-0.000207647829982451,-0.000328635059011996,8.42927177616248e-05,-6.57271913005061e-05
"NRSF",0.0776101406814993,-0.0811985272246045,-0.01192204272411,1.99827253843364e-05,0.000765621983224236,0.00274417732252682,-9.72007578382818e-05,2.43511062816468e-06,1.21413257719139e-05,1.04263361642006e-05,0.00016916005299408,1.95005334510804e-05,5.87347661078492e-06,9.52046239688862e-05,0.000114217234207483,-0.000130195103214372,2.881613786231e-05,5.20728824666459e-05
"POU2F2",0.0788260909349348,0.0397063999398389,-0.00885796886302134,-1.48163165716292e-05,-0.000177705475223022,0.00204014989802874,-8.59801449833509e-05,-4.01453297631769e-07,3.08331071296163e-05,-1.378279106757e-05,0.000142042872440173,0.000103910115379593,-0.000132562708912729,0.000178286250726712,-0.00216191449273706,0.000260583554309967,0.000361335207517386,3.10359215177703e-05
"SP1",0.0790614178652466,0.0521648004858397,-0.00279353772647888,-3.55643700968259e-05,0.000949483825989556,0.00173812752858406,0.000627317230096164,-1.21960909039794e-07,5.3449835326217e-06,-9.27238713721101e-06,0.000242575819509541,-0.000152316267290135,5.34129665587952e-05,-0.00118085983508411,0.00261857703401371,0.000689715340159239,-0.00148129015373162,-0.000108552512171494
"SRF",0.0783377337652018,0.0111072278489384,-0.0098614349721535,-3.97899353622202e-05,-0.000288377112963974,0.00173568597672683,-0.00110452002962679,-2.45464701297819e-06,7.46542818461536e-07,1.27564909686583e-05,0.00018347454025537,-4.93414790747742e-05,-3.29725083254376e-05,-0.000943205937717426,0.000120101566064302,0.000158770631612904,0.000286109396946149,4.23803891908362e-05
"STAT3",0.0788546576567953,0.0254715184485997,-0.0100938633501002,-3.75985082354632e-05,-0.0036556115255953,-0.00255437354711145,-0.000832838074804188,7.25461877889417e-07,8.70355467883238e-06,-1.69608413734366e-06,0.000459295627414403,-2.47037859874085e-05,0.000293502600377594,0.000635814039740991,0.000447092903030245,0.000487044151784659,4.98699105729697e-05,4.81669382563466e-05
"USF1",0.077864640348765,-0.0344461086613666,-0.00952076622280817,-4.02528995708562e-05,0.00186535426594245,-0.00361603960891482,0.00162805384662015,-5.92281650258646e-07,2.54949434625523e-05,5.33557178122815e-06,0.000213384232928661,6.22277010814109e-05,-7.08960634765609e-05,0.000349374110780414,0.000237810118772058,0.000271458104693298,0.000106681471244647,5.01188957647271e-05
"YY1",0.0790726514120348,0.0580652656702139,0.00335735105636675,-5.6911833788706e-05,0.000581511139701054,0.000372548458476873,-0.000238007028214307,-1.20709995253693e-07,-7.35358370186975e-06,2.09899708950101e-07,-6.6043702402386e-05,3.06339610994511e-05,-1.72796924639271e-05,0.00649085811792449,0.000499944651136381,-0.00222047253903369,-0.000375970309588237,-2.35199975389909e-05
"DNAse",0.078870277342247,-0.00474177511575132,0.0183189932681912,-2.43676775581717e-05,0.00135757006860316,0.000338262574107395,0.000100047102255222,-1.17642588484693e-07,-3.92667912032877e-06,3.03963068123053e-06,0.000391107436114754,7.56384326175742e-07,0.000455720691303841,0.000338682218607501,-0.00184326931707979,0.00157141353383848,-0.00102905156053822,-0.00041299742998358
"H3k27me3",0.0784676019224702,-0.217349990675876,0.00850060613673007,-3.32992637729967e-05,-0.00220528084659181,0.000366203177351394,0.000444891221320031,-4.70241934218137e-07,-6.40515102457771e-06,-2.22121042342246e-06,-0.000209839858226464,-1.86531628682593e-05,-0.000254013171433627,0.00111070192256798,-5.70077511493226e-05,0.000777726242045363,-0.00100012974047526,-1.05511120157622e-05
"H3k36me3",0.0787968034998282,0.0741474953068981,-0.00977675356290689,0.000197726336538477,0.000318102087741405,-0.00126883603345968,-0.000369404898177383,1.42997432699805e-07,-1.44373743668992e-05,1.46860582765017e-06,-0.000450878548258742,-4.54454937910482e-05,-0.000191012038641628,0.00107932085880453,-0.000785593688501432,0.00163151573740175,-0.00151025212464185,0.000149494886665459
"H3k4me1",0.0789069176749284,0.0624600871961732,0.00843473679543179,3.82896771473775e-05,-0.00155613731426284,-7.98401131929197e-05,0.000610247590370788,7.78208212370934e-08,1.25101380892049e-05,4.37158385998727e-06,-0.000366666827982708,1.8764032790699e-05,-1.63361964233391e-05,-0.00298146427015827,-0.000453104456779367,-0.00290613306458505,-0.0011855389950477,-0.00150150767343341
