"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"E2f1",0.0196565140430881,0.154560484113179,0.0206564064919925,0.0112011128434914,0.000534108444045634,-7.66761919345799e-06,-0.000501547806072361,9.4722004466278e-05,0.000622204827232035,0.0035693679514804,0.00108885795176697,0.000753788373824159,-0.00112834019450807,0.0022874228835364,0.00451267227819918,0.000562072077648162,-0.00148332470742804,0.0306697497013193,0.00661462993124085,0.0169939482428513
"Mycn",0.0198851119134646,0.154564916173076,0.0174446559644156,0.00711836364069496,-0.000373622153386759,0.000485235447106914,-0.00308582748461166,0.000487880932779116,-0.00035841162716035,-0.00187613995945259,-0.00198257984144163,-0.0017564037822753,-0.0011728652869951,-0.00318907092479708,-0.00881993608395575,-0.0292621439027562,-0.00175534441270804,0.0048383331954967,-0.0282743260972543,-0.00330064077512004
"Zfx",0.0198286709277979,0.142864545101049,0.0111634838884322,0.00588282015033491,-0.000333020355034892,0.000716575197571988,-0.00139232136589341,-0.000286532661386919,-0.00248864849268252,0.00129040571108515,-0.00293020192617176,-0.00105575048522521,0.00318709402313956,-0.0149923952829298,-0.00522330938034302,0.0915212997118741,8.85919728800378e-05,-0.00571248204090635,0.000526927350485233,-0.00175903022251642
"Myc",0.0197778465246951,0.147945990441261,0.0197262600606303,0.00626241534067808,-0.000204178717760574,0.000203855181252108,-0.00386647480421536,0.000305506930915969,-0.000575873801157137,-0.00199722633649338,-0.00350978405251438,-0.00284559906948486,-0.00301264831357587,-0.00461988867886766,-0.010694231161176,-0.0396228317160175,-0.00129756326035581,-0.0161490691679091,0.0212892540606583,6.8048589745467e-05
"Klf4",0.0198665145000321,0.13280575491322,-0.00241869885554012,-0.0051899202377441,-0.00131608893575357,0.000869993833890636,0.000161949854472983,-0.000246341073618059,-0.00394298760395105,-0.00219956398036922,0.000902968981331273,-1.1134591456787e-05,0.0129638618894526,0.0430141999639734,0.0015328008789328,-0.00304260954191609,0.000799326733576655,-0.00235915917137827,0.00149260883282747,-0.000442396199550969
"Tcfcp2l1",0.0197378086642489,0.118196246971386,-0.0105633809063351,-0.00821885654528828,-0.00157191150831103,0.000906678846378858,0.00492476087079997,-0.00117771534579865,-0.00343560095705763,0.00777250998316274,-0.00775310378787141,0.00578623612668766,-0.013060900859001,0.00663132635412555,-0.00291315776977623,-0.00182935474332966,0.00144313515137097,-0.00119717895997369,7.16122615923564e-05,-0.000989101354586628
"Esrrb",0.0198403720266882,0.116310571347347,-0.0144972057073109,-0.0103977401287187,-0.00174425331356707,0.000917749841490972,0.00383492582002062,-0.000729389607367536,-0.00407741069123728,-0.00264138029697541,-0.000146106994052289,-0.00298297548642127,0.00491162230323841,-0.0336566175554793,0.0129105216273792,-0.0247637285547316,0.000373957861751425,0.00306720370019943,0.00111261180673942,-0.000184868826709258
"Nanog",0.0195097994317005,0.118295862488895,-0.00241441415920014,-0.0155779344208455,0.00041503423410356,-0.0012217504248048,0.00439497352132718,0.00125736360510594,-0.00245603662696977,0.0101464997892666,0.0222296501924237,-0.00186508739559855,-0.00282474372252303,0.000495717384481709,-0.0052349786770596,0.00301275594889875,0.00163668210881588,-0.00183998507070364,-0.000262858043264929,-0.00120919942789631
"Oct.04",0.0195964148068418,0.121263420456104,-0.00209837393538807,-0.0117623091422176,-0.000269394804377007,-0.000517390570676803,-0.0025878713646368,0.00237998979003773,0.0023532949217055,-0.0225395983566737,0.0047490639538955,0.00398736434575345,-0.004470201494658,-0.00135734814990977,0.00363496180280437,0.0118299990964968,0.000511520188256003,-0.000945040828986838,0.000920703331628181,-2.53985951197331e-05
"Sox2",0.0191616851405745,0.0979727384734973,-0.00876618050680583,-0.0204668179871351,0.00114662826557748,-0.00192506097101263,0.000866151843438883,0.0029334505530925,0.00170745076654836,0.00843258497344002,-0.0173558747622701,-0.0005131642937902,0.00439280279532972,-0.000959002859015139,0.0010101146812472,-0.000438520211803974,-0.000550834399292874,0.00104246860625017,-0.00035814053040222,-0.000853836093744607
"Stat3",0.0192144233617905,0.0883857442335224,-0.00784272484053424,-0.0190357421166223,-0.000508635175776115,-0.00155486539439648,-0.00923473182780482,-0.00386292545124887,0.00822887758692685,0.00218691640130583,0.0017080110004489,-9.05131103032481e-05,0.00056334705519096,-0.000505139657038088,-0.000354404517861515,0.0025092679282101,0.000255107225476321,0.00207362132757115,-0.000463486117471508,-0.000334634261857609
"Smad1",0.0186802059904917,0.0610878606161898,-0.00606432265413237,-0.018092845031808,0.00364775329828545,0.00329621748042046,0.000609696555297919,-0.00101172724042194,0.00108377428873361,-0.00230200408378452,2.38998373114125e-05,-0.000396934851855512,-0.000548441051298181,0.00102616991132435,-0.000446551066559817,-0.00363804257100371,5.48342399027824e-05,-0.000352567858044797,-0.000113599139221911,-0.000475389041515425
"DNAse",0.127298442803605,0.0395498629730951,-0.0471324579411877,0.0190742643971367,0.00076858023246097,4.58529154084608e-05,-0.00986617981673361,0.000837520493234879,-0.00531988968037713,0.00479486503853221,0.00237844538057155,0.00106797972901931,-0.0010657481639907,-0.00141701850282956,0.00334054152174407,-0.0042419502019484,0.000391998524738751,-0.0042308567227343,-0.000947886499570081,0.00201754087154389
"H3K20me3",0.127446930163962,-0.11124583814823,0.0284905560052688,-0.0121843507508636,8.84427980332438e-05,1.76726020494193e-05,-0.00279071296744328,-0.000108670467214572,-0.00489438036285022,0.00315399594242385,0.00293073287353465,0.00651765703132125,0.00888755843748855,-0.0164686209183845,-0.00495464255534671,-0.0140098073140369,-0.00305765633018754,0.000285450035394698,0.000920623323706552,-0.000160327834598968
"H3K27me3",0.127414699939014,-0.132139099241585,-0.0199543202606464,-0.00994370832002232,-0.00161072924795846,0.00133945295670925,0.000758225179586463,0.00117220070117529,0.00477467508192985,-0.00205562442746378,-0.00121935524277857,-0.00236715478639749,0.000918651646269189,-0.00201126804529834,-0.013829267665085,0.00461102882557207,0.0060070504839151,0.0101102530934735,0.00125574865726058,0.00934607306672627
"H3K36me3",0.127860426828759,0.0119182213379984,0.0281923306453333,0.00521324369056422,0.000538900649840142,-0.000401987294971512,0.000909126656447718,-0.000323807730262713,0.00145362515262893,0.00132895211657805,-0.00154978502470215,-0.000250958411718251,-0.00132179549381271,0.0021417015238305,0.00932398614203503,-0.00345975889659114,0.015498778430075,-0.0129618804672513,-0.00416036545337113,0.00270862816821087
"H3K4me1",0.127851385317778,0.0149665928909808,-0.0122006931920086,0.0058518229377751,0.00132143019313035,-0.00228650293458158,0.00786071923825698,-0.00242621006813934,-0.00542392938525836,-0.0116871017676792,-0.00378001664433674,-0.00123952550254438,0.00033472584473392,0.00206486019507407,-0.00723547028555692,0.000316648957193476,-0.00120085952974502,0.00530884496011901,-4.63641167650459e-05,9.05886197214222e-05
"H3K4me2",0.127643762788402,0.0430037812830025,-0.00255276928735148,0.0087997862799971,-0.000273869882723935,0.000318014727314577,0.00627030352089613,8.02295723803481e-05,0.00915953959530227,0.00258877596178496,0.00223378404142258,0.000819470848664304,0.00141353933716904,0.00107353619384425,0.00428852477956455,0.00162351989986963,-0.0103457532786945,-0.0198015798561839,-0.00411860147562659,0.00829671394076018
"H3K4me3",0.12800548519621,0.0308452539307083,0.00275645267535394,0.0115769798627065,-0.000158535168998297,0.000504735806992773,0.00174652252691095,0.000513262866357355,0.00599227077190389,0.00235669371374132,0.00141881180708801,0.000231154481290813,0.000129895150170275,0.0019665183237952,0.00236294974677302,-0.000843197867597194,-0.000264670289004035,0.0176239182713727,0.00747040982363509,-0.0228567406324903
"H3K9me3",0.127426005212181,-0.121212435280142,0.0199288833514183,-0.0167033830405126,-0.000551580394139478,0.000139778494973591,-0.00405689128189151,0.000235148806250533,-0.00519974465352255,-0.000403049725761381,-0.00196317156352786,-0.00462124728055705,-0.00927812988482252,0.0135310579217324,0.00824509780344784,0.0149555987697587,-0.00706636508200323,0.00163692322449165,-0.000759531489852453,-0.000514045452113186
