"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"E2f1",0.015138369365581,0.151759715606689,0.0139089841476943,0.00943380781878313,6.5002962011256e-05,-3.18687453791752e-06,-1.81367919101494e-05,-1.38352242391181e-07,0.000134649564074668,0.000947060241742655,1.14371235003464e-05,6.66902332005316e-05,3.08431189791995e-07,3.07421260671766e-06,0.00256063782162427,4.76975894029024e-06,-5.1118374877397e-05,0.00722357195381409,0.00015446042518316,0.00265157644428621
"Mycn",0.0153144229115129,0.151764067353861,0.0117463530437927,0.00599523239421255,-4.54711901935183e-05,0.000201677268036397,-0.00011158858693312,-7.12605497003838e-07,-7.75628334018631e-05,-0.000497796133011529,-2.08245808914456e-05,-0.000155395044420731,3.20602100053114e-07,-4.28599456239197e-06,-0.00500472015882757,-0.000248319349141551,-6.04927250779358e-05,0.00113956091310045,-0.000660243199717444,-0.000515001058335014
"Zfx",0.0152709551589649,0.140275717038631,0.00751692800475416,0.00495463223218685,-4.05298020067598e-05,0.000297828464615689,-5.03486259525588e-05,4.18513485272648e-07,-0.000538561290444336,0.000342383290626998,-3.0778194029988e-05,-9.34058530301348e-05,-8.71190449760104e-07,-2.01492303480069e-05,-0.00296387655225178,0.000776652238898353,3.05305888733042e-06,-0.00134544707600215,1.2304455947291e-05,-0.000274462593163077
"Myc",0.0152318129903551,0.145265082231981,0.0132826703707134,0.00527433511570103,-2.48493008902207e-05,8.47278496967084e-05,-0.00013981807536762,-4.46227560284788e-07,-0.000124623199457939,-0.000529923976111714,-3.68659967106011e-05,-0.000251759873366567,8.23505808180625e-07,-6.20896123774447e-06,-0.00606825647782868,-0.000336240427754165,-4.47166590280935e-05,-0.00380355119482745,0.000497132457631645,1.0617664303637e-05
"Klf4",0.0153001002033679,0.130399200754337,-0.00162863003556766,-0.00437105766201978,-0.0001601728638593,0.000361593491723854,5.85637256288126e-06,3.5980910792743e-07,-0.000853290650903024,-0.000583610214271389,9.48458680005844e-06,-9.85115354165698e-07,-3.54366472658204e-06,5.78095098850651e-05,0.000869761343533799,-2.58196673371328e-05,2.75464188062674e-05,-0.00055564705258153,3.48544056655068e-05,-6.90273575632755e-05
"Tcfcp2l1",0.0152009780254822,0.116054429623944,-0.00711284886987612,-0.00692209017280375,-0.000191307411816669,0.000376840797213627,0.000178087436610297,1.72018698197795e-06,-0.000743488560286926,0.00206227973233981,-8.14368902656142e-05,0.000511928082260603,3.57019027710277e-06,8.91225982910276e-06,-0.00165302098308465,-1.55239541136233e-05,4.97333613450307e-05,-0.000281968664341275,1.67224175635901e-06,-0.000154330107127209
"Esrrb",0.0152799667037687,0.114202924059163,-0.00976168843535378,-0.008757190780466,-0.000212282043363689,0.000381442208882885,0.000138677212314509,1.06535633747117e-06,-0.00088238076610702,-0.000700837318144881,-1.53467560440613e-06,-0.000263914034401532,-1.34258933446679e-06,-4.52332617345188e-05,0.00732585216428744,-0.000210145674133254,1.28873456159878e-05,0.000722411067620883,2.59809686285106e-05,-2.88451994309977e-05
"Nanog",0.0150253778161311,0.116152240022856,-0.00162574493677308,-0.0131200570508721,5.05111927241866e-05,-0.000507793256585086,0.000158929456458289,-1.83652230807043e-06,-0.000531503850016851,0.00269217034328981,0.00023349533720874,-0.000165010655073934,7.72142188531258e-07,6.66226015185586e-07,-0.00297049809281182,2.55663289347165e-05,5.64033816564994e-05,-0.000433367232586176,-6.13808565975181e-06,-0.000188672148086774
"Oct.04",0.0150920842290155,0.119066023295042,-0.00141293936167269,-0.00990645889415128,-3.27863384864445e-05,-0.000215041826445336,-9.35816762876646e-05,-3.47624531570235e-06,0.000509269811930608,-0.00598043064167712,4.98831191558126e-05,0.00035277574888123,1.22192719209867e-06,-1.82422621728184e-06,0.00206259619547085,0.000100389694130051,1.76280221111976e-05,-0.000222583180298497,2.1499649950056e-05,-3.96295878833085e-06
"Sox2",0.0147572792759244,0.0961973884415306,-0.00590270460412631,-0.0172375754311626,0.000139548877047892,-0.00080010856534102,3.13214723638466e-05,-4.28463760084896e-06,0.000369504528625194,0.00223741740050905,-0.0001823022762432,-4.54013986040039e-05,-1.20077029895744e-06,-1.28886473082086e-06,0.000573172102364964,-3.72129444590426e-06,-1.89828694805753e-05,0.000245530108989328,-8.36305873137066e-06,-0.000133224583310529
