Entrez_ID,Gene,E2f1,Mycn,Zfx,Myc,Klf4,Tcfcp2l1,Esrrb,Nanog,Oct.04,Sox2,Stat3,Smad1
11287,Pzp,0,9.094329142,11.02286933,6.681965529,63.40025292,3.343090819,17.14292923,19.29545614,46.03302685,0,31.42911787,16.6869407
11298,Aanat,1.27E-22,21.45797977,51.98683414,19.16990225,76.3927422,101.7559395,45.70596071,22.54685377,7.882661185,0,12.26302564,55.12287464
11302,Aatk,0,38.76595537,146.5194905,33.92257156,199.3502544,96.05726899,51.95115216,27.33727963,22.10896974,0,73.44116182,43.49330372
11303,Abca1,8.095399601,33.32977471,57.0581922,6.914642124,80.6940764,53.72604845,35.54293207,33.21327446,51.17318366,0,93.66567598,21.52315017
11304,Abca4,3.11E-05,16.94722232,22.54654881,23.80787632,86.81311445,51.89464835,53.73769679,8.236883256,59.46402907,0,44.14554599,43.84483826
11306,Abcb7,7.654517143,24.77487491,2.302051694,42.40284842,34.0225422,6.632172967,19.69235771,38.42088822,39.9280424,0,15.13821151,50.54222328
11307,Abcg1,0,28.27256045,75.44520095,12.10832628,121.2504496,78.50044586,39.2973652,33.3257982,16.23554951,0,32.54707012,50.31464273
11350,Abl1,8.64E-07,11.23811573,68.5720699,9.089378273,39.40085797,37.95720064,46.72127627,18.12063673,27.7912448,0,15.39681344,29.2148498
11352,Abl2,1.39E-07,43.8060164,114.3493942,28.18918535,104.8503372,30.53888647,23.88050291,14.45681599,24.20139162,0,10.24232678,32.32547201
11354,Scgb1b27,3.13E-08,0.524151705,14.38934283,0.531326224,44.9649451,55.41070308,80.89044264,22.47226593,9.624657412,0,57.73454207,30.40444646
11363,Acadl,1.61E-15,16.41046399,119.6712325,16.05963531,91.04726584,18.60012861,29.35824425,46.92508333,36.90707592,0,49.44992064,25.3321922
11364,Acadm,4.30E-05,35.36107427,46.31912506,27.81777305,113.7886321,24.81644748,70.03125032,35.14587429,27.80901543,0,32.8871531,56.01151084
11370,Acadvl,5.52E-06,29.51169394,79.52502452,18.63008037,116.763142,31.40669026,42.51108221,22.33157153,1.136829566,0,23.69345458,36.65516362
11409,Acads,8.401056775,56.412719,98.48139599,65.08245437,203.768984,59.34271584,40.84388096,32.76042632,14.38525645,0,10.02067701,42.16870665
