"","entrezgene","ensembl_gene_id","mgi_id"
"1",68028,"ENSMUSG00000039221","MGI:1915278"
"2",14042,"ENSMUSG00000061731","MGI:894663"
"3",237781,"ENSMUSG00000018599","MGI:2144199"
"4",17309,"ENSMUSG00000042428","MGI:104532"
"5",13358,"ENSMUSG00000003528","MGI:1345283"
"6",103554,"ENSMUSG00000040850","MGI:2143994"
"7",258550,"ENSMUSG00000058491","MGI:3030703"
"8",404238,"ENSMUSG00000070546","MGI:3033117"
"9",230279,"ENSMUSG00000045917","MGI:1913920"
"10",19075,"ENSMUSG00000025395","MGI:97757"
"11",210146,"ENSMUSG00000041037","MGI:2667176"
"12",80879,"ENSMUSG00000025161","MGI:1933438"
"13",55982,"ENSMUSG00000002221","MGI:1890430"
"14",56318,"ENSMUSG00000032561","MGI:1928480"
"15",319713,"ENSMUSG00000032735","MGI:2442582"
"16",12476,"ENSMUSG00000025510","MGI:1096360"
"17",52024,"ENSMUSG00000024774","MGI:1277101"
"18",19286,"ENSMUSG00000032067","MGI:1338783"
"19",242773,"ENSMUSG00000039838","MGI:2653235"
"20",69046,"ENSMUSG00000044792","MGI:1916296"
"21",14103,"ENSMUSG00000000817","MGI:99255"
"22",20679,"ENSMUSG00000051910","MGI:98368"
"23",233987,"ENSMUSG00000058748","MGI:2385298"
"24",229011,"ENSMUSG00000038605","MGI:2443872"
"25",66254,"ENSMUSG00000021692","MGI:1913504"
"26",19718,"ENSMUSG00000023104","MGI:1341868"
"27",12662,"ENSMUSG00000025531","MGI:892979"
"28",70335,"ENSMUSG00000035504","MGI:1917585"
"29",212933,"ENSMUSG00000042251","MGI:2442939"
"30",13612,"ENSMUSG00000034488","MGI:1329025"
"31",211484,"ENSMUSG00000060771","MGI:2685063"
"32",332221,"ENSMUSG00000023902","MGI:3040700"
"33",68243,"ENSMUSG00000032671","MGI:1915493"
"34",30932,"ENSMUSG00000031711","MGI:1353574"
"35",20419,"ENSMUSG00000022322","MGI:1338802"
"36",239029,"ENSMUSG00000047441","MGI:1925726"
"37",57251,"ENSMUSG00000066899","MGI:3030704"
"38",641361,"ENSMUSG00000011632","MGI:3615324"
"39",243983,"ENSMUSG00000030471","MGI:1919227"
"40",239555,"ENSMUSG00000022412","MGI:2146020"
"41",234911,"ENSMUSG00000070323","MGI:3039232"
"42",224829,"ENSMUSG00000064043","MGI:2442086"
"43",258905,"ENSMUSG00000061457","MGI:3030705"
"44",280662,"ENSMUSG00000029369","MGI:2429409"
"45",67089,"ENSMUSG00000021832","MGI:1914339"
"46",16832,"ENSMUSG00000030246","MGI:96763"
"47",170752,"ENSMUSG00000032066","MGI:2177469"
"48",102122,"ENSMUSG00000031774","MGI:1919637"
"49",258553,"ENSMUSG00000066897","MGI:3030706"
"50",74734,"ENSMUSG00000029204","MGI:1921984"
